245961_at	At5g19670
245962_at	At5g19700
245963_at	At5g19710
245964_at	At5g19720
245965_at	At5g19730
245966_at	At5g19790
245967_at	At5g19800
245968_at	At5g19810
245969_at	At5g19830
245970_at	At5g20710
245971_at	At5g20730
245972_at	At5g20680
245973_at	At5g32490
245974_at	At5g32510
245975_at	At5g13070
245976_at	At5g13080
245977_at	At5g13110
245978_at	At5g13130
245979_at	At5g13150
245980_at	At5g13140
245981_at	At5g13100
245982_at	At5g13170
245983_at	At5g13050
245984_at	At5g13090
245985_at	At5g13120
245986_at	At5g13160
245987_at	At5g13180
245988_at	At5g20610
245989_s_at	At5g20620
245990_at	At5g20640
245991_at	At5g20660
245992_at	At5g20690
245993_at	At5g20700
245994_at	At5g20760
245995_at	At5g20770
245996_at	At5g20800
245997_at	At5g20810
245998_at	At5g20830
245999_at	At5g20650
246000_at	At5g20820
246001_at	At5g20790
246002_at	At5g20740
246003_at	At5g20720
246004_at	At5g20630
246005_at	At5g08415
246006_at	At5g08290
246007_at	At5g08410
246008_at	At5g08320
246009_at	At5g08335
246010_at	At5g08440
246011_at	At5g08330
246012_at	At5g10650
246013_at	At5g10660
246014_at	At5g10680
246015_at	At5g10700
246016_at	At5g10720
246017_at	At5g10730
246018_at	At5g10695
246019_at	At5g10690
246020_at	At5g10710
246021_at	At5g21100
246022_at	At5g21110
246023_at	At5g21120
246024_at	At5g21130
246025_at	At5g21150
246026_at	At5g21070
246027_at	At5g21060
246028_at	At5g21170
246029_at	At5g21090
246030_at	At5g21105
246031_at	At5g21160
246032_s_at	At5g32480
246033_at	At5g08280
246034_at	At5g08350
246035_at	At5g08300
246036_at	At5g08370
246037_at	At5g19420
246038_s_at	At5g19470
246039_at	At5g19480
246040_at	At5g19370
246041_at	At5g19290
246042_at	At5g19440
246043_at	At5g19380
246044_at	At5g19450
246045_at	At5g19430
246046_at	At5g28860
246047_at	At5g28870
246048_at	At5g28880
246049_at	At5g28890
246050_s_at	At5g28900
246051_at	At5g28840
246052_at	At5g08310
246053_at	At5g08340
246054_at	At5g08360
246055_at	At5g08380
246056_at	At5g08390
246057_at	At5g08400
246058_at	At5g08430
246059_at	At5g08450
246060_at	At5g08420
246061_at	At5g19320
246062_at	At5g19330
246063_at	At5g19340
246064_at	At5g19350
246065_at	At5g19360
246066_at	At5g19400
246067_at	At5g19410
246068_at	At5g20290
246069_at	At5g20220
246070_at	At5g20160
246071_at	At5g20150
246072_at	At5g20240
